"districtid";"districtname";"stateid"
250;"Srinagar";14
251;"Udhampur";14
252;"Bokaro";15
253;"Chatra";15
254;"Deoghar";15
255;"Dhanbad";15
256;"Dumka";15
257;"East Singhbhum";15
258;"Garhwa";15
259;"Giridih";15
260;"Godda";15
261;"Gumla";15
262;"Hazaribag";15
263;"Jamtara";15
264;"Khunti";15
265;"Koderma";15
266;"Latehar";15
267;"Lohardaga";15
268;"Pakur";15
269;"Palamu";15
270;"Ramgarh";15
271;"Ranchi";15
272;"Sahibganj";15
273;"Seraikela Kharsawan";15
274;"Simdega";15
275;"West Singhbhum";15
276;"Bagalkote";16
277;"Ballari";16
278;"Belagavi";16
279;"Bengaluru Rural";16
280;"Bengaluru Urban";16
281;"Bidar";16
282;"Chamarajanagar";16
283;"Chikkaballapur";16
284;"Chikkamagaluru";16
285;"Chitradurga";16
286;"Dakshina Kannada";16
287;"Davanagere";16
288;"Dharwad";16
289;"Gadag";16
290;"Hassan";16
291;"Haveri";16
292;"Kalaburagi";16
293;"Kodagu";16
294;"Kolar";16
295;"Koppal";16
296;"Mandya";16
297;"Mysuru";16
298;"Raichur";16
299;"Ramanagara";16
300;"Shivamogga";16
301;"Tumakuru";16
302;"Udupi";16
303;"Uttara Kannada";16
304;"Vijayanagara";16
305;"Vijayapura";16
306;"Yadgiri";16
307;"Alappuzha";17
308;"Ernakulam";17
309;"Idukki";17
310;"Kannur";17
311;"Kasargod";17
312;"Kollam";17
313;"Kottayam";17
314;"Kozhikode";17
315;"Malappuram";17
316;"Palakkad";17
317;"Pathanamthitta";17
318;"Thiruvananthapuram";17
319;"Thrissur";17
320;"Wayanad";17
321;"Kargil";18
322;"Leh Ladakh";18
323;"Lakshadweep";19
324;"Agar Malwa";20
325;"Alirajpur";20
326;"Anuppur";20
327;"Ashoknagar";20
328;"Balaghat";20
329;"Barwani";20
330;"Betul";20
331;"Bhind";20
332;"Bhopal";20
333;"Burhanpur";20
334;"Chhatarpur";20
335;"Chhindwara";20
336;"Damoh";20
337;"Datia";20
338;"Dewas";20
339;"Dhar";20
340;"Dindori";20
341;"Guna";20
342;"Gwalior";20
343;"Harda";20
344;"Indore";20
345;"Jabalpur";20
346;"Jhabua";20
347;"Katni";20
348;"Khandwa";20
349;"Khargone";20
350;"Maihar";20
351;"Mandla";20
352;"Mandsaur";20
353;"Mauganj";20
354;"Morena";20
355;"Narmadapuram";20
356;"Narsinghpur";20
357;"Neemuch";20
358;"Niwari";20
359;"Pandhurna";20
360;"Panna";20
361;"Raisen";20
362;"Rajgarh";20
363;"Ratlam";20
364;"Rewa";20
365;"Sagar";20
366;"Satna";20
367;"Sehore";20
368;"Seoni";20
369;"Shahdol";20
370;"Shajapur";20
371;"Sheopur";20
372;"Shivpuri";20
373;"Sidhi";20
374;"Singrauli";20
375;"Tikamgarh";20
376;"Ujjain";20
377;"Umaria";20
378;"Vidisha";20
379;"Ahmednagar";21
380;"Akola";21
381;"Amravati";21
382;"Beed";21
383;"Bhandara";21
384;"Buldhana";21
385;"Chandrapur";21
386;"Chhatrapati Sambhaji Nagar";21
387;"Dharashiv";21
388;"Dhule";21
389;"Gadchiroli";21
390;"Gondia";21
391;"Hingoli";21
392;"Jalgaon";21
393;"Jalna";21
394;"Kolhapur";21
395;"Latur";21
396;"Mumbai Suburban";21
397;"Nagpur";21
398;"Nanded";21
399;"Nandurbar";21
400;"Nashik";21
401;"Palghar";21
402;"Parbhani";21
403;"Pune";21
404;"Raigad";21
405;"Ratnagiri";21
406;"Sangli";21
407;"Satara";21
408;"Sindhudurg";21
409;"Solapur";21
410;"Thane";21
411;"Wardha";21
412;"Washim";21
413;"Yavatmal";21
414;"Bishnupur";22
415;"Chandel";22
416;"Churachandpur";22
417;"Imphal East";22
418;"Imphal West";22
419;"Jiribam";22
420;"Kakching";22
421;"Kangpokpi";22
422;"Noney";22
423;"Senapati";22
424;"Tamenglong";22
425;"Tengnoupal";22
426;"Thoubal";22
427;"Ukhrul";22
428;"East Garo Hills";23
429;"East Jaintia Hills";23
430;"East Khasi Hills";23
431;"Eastern West Khasi Hills";23
432;"North Garo Hills";23
433;"Ri Bhoi";23
434;"South Garo Hills";23
435;"West Garo Hills";23
436;"West Jaintia Hills";23
437;"West Khasi Hills";23
438;"Aizawl";24
439;"Champhai";24
440;"Hnahthial";24
441;"Khawzawl";24
442;"Kolasib";24
443;"Lawngtlai";24
444;"Lunglei";24
445;"Mamit";24
446;"Saitual";24
447;"Serchhip";24
448;"Siaha";24
449;"Chumoukedima";25
450;"Dimapur";25
451;"Kiphire";25
452;"Kohima";25
453;"Longleng";25
454;"Mokokchung";25
455;"Mon";25
456;"Peren";25
457;"Phek";25
458;"Tseminyu";25
459;"Tuensang";25
460;"Wokha";25
461;"Zunheboto";25
462;"Angul";26
463;"Balangir";26
464;"Baleswar";26
465;"Bargarh";26
466;"Bhadrak";26
467;"Boudh";26
468;"Cuttack";26
469;"Deogarh";26
470;"Dhenkanal";26
471;"Gajapati";26
472;"Ganjam";26
473;"Jagatsinghpur";26
474;"Jajpur";26
475;"Jharsuguda";26
